============================================================
  PARCL INTELLIGENCE — Batch Permit Geocoder
============================================================
  Loaded 13,765 cached geocodes
  Total permits in DB:  125,795
  Scope:                125,795 (all towns)
  Geocode cache:        13,765 entries

  Resuming from offset 20
  Phase 1: Scanning permits and extracting addresses...
    Scanned 10,000 permits, found 6,688 unique addresses...
    Scanned 20,000 permits, found 9,672 unique addresses...
    Scanned 30,000 permits, found 11,538 unique addresses...
    Scanned 40,000 permits, found 13,736 unique addresses...
    Scanned 50,000 permits, found 15,423 unique addresses...
    Scanned 60,000 permits, found 16,677 unique addresses...
    Scanned 70,000 permits, found 21,481 unique addresses...
    Scanned 80,000 permits, found 24,104 unique addresses...
    Scanned 90,000 permits, found 25,785 unique addresses...
    Scanned 100,000 permits, found 26,986 unique addresses...
    Scanned 110,000 permits, found 28,748 unique addresses...
    Scanned 120,000 permits, found 30,149 unique addresses...

  Found 30,797 unique addresses across 125,763 permits
  Permits without extractable address: 32

  Phase 2: Geocoding 30,797 unique addresses...
  (Cached addresses are instant, new ones take ~1 sec each)
    Geocoded 14,300/30,797 (46.4%) | 0.5 addr/sec | API: 14283 | Cache: 17 | Success: 8,363
    Geocoded 14,400/30,797 (46.8%) | 0.5 addr/sec | API: 14383 | Cache: 17 | Success: 8,397
    Geocoded 14,500/30,797 (47.1%) | 0.5 addr/sec | API: 14483 | Cache: 17 | Success: 8,424
    Geocoded 14,600/30,797 (47.4%) | 0.5 addr/sec | API: 14583 | Cache: 17 | Success: 8,452
    Geocoded 14,700/30,797 (47.7%) | 0.5 addr/sec | API: 14683 | Cache: 17 | Success: 8,491
    Geocoded 14,800/30,797 (48.1%) | 0.5 addr/sec | API: 14783 | Cache: 17 | Success: 8,531
    Geocoded 14,900/30,797 (48.4%) | 0.5 addr/sec | API: 14883 | Cache: 17 | Success: 8,576
    Geocoded 15,000/30,797 (48.7%) | 0.5 addr/sec | API: 14983 | Cache: 17 | Success: 8,619
    Geocoded 15,100/30,797 (49.0%) | 0.5 addr/sec | API: 15083 | Cache: 17 | Success: 8,662
    Geocoded 15,200/30,797 (49.4%) | 0.5 addr/sec | API: 15183 | Cache: 17 | Success: 8,709
    Geocoded 15,300/30,797 (49.7%) | 0.5 addr/sec | API: 15283 | Cache: 17 | Success: 8,750
    Geocoded 15,400/30,797 (50.0%) | 0.5 addr/sec | API: 15383 | Cache: 17 | Success: 8,792
    Geocoded 15,500/30,797 (50.3%) | 0.5 addr/sec | API: 15483 | Cache: 17 | Success: 8,836
    Geocoded 15,600/30,797 (50.7%) | 0.5 addr/sec | API: 15583 | Cache: 17 | Success: 8,874
    Geocoded 15,700/30,797 (51.0%) | 0.5 addr/sec | API: 15683 | Cache: 17 | Success: 8,913
    Geocoded 15,800/30,797 (51.3%) | 0.5 addr/sec | API: 15783 | Cache: 17 | Success: 8,949
